property_id,address_line1,city,province,postal_code,property_type,assessed_value,created_at
PROP00001,8453 Queen St,Mississauga,MB,A0Y 8M0,Commercial,668396.64,2024-09-27
PROP00002,8900 Lakeshore St,Montréal,NS,X8A 3K1,Condo,652651.7,2025-01-09
PROP00003,3887 Maple St,Waterloo ,QC,,Commercial,632459.5,2022-10-31
PROP00004,5366 King St,Vancouver,MB,X0V 8R4,Commercial,616768.59,2023-07-18
PROP00005,8391 Maple St,Londn,BC,,Commercial,869054.3,2023-04-01
PROP00006,3967 Victoria St,Waterloo ,BC,V1K 5C5,Condo,933212.84,2022-11-27
PROP00007,9394 King St,toronto,MB,,Commercial,522863.3,2022-09-21
PROP00008,6828 Duke St,Brampton,BC,M6M 3P1,Commercial,399325.62,2025-08-24
PROP00009,4135 Cedar St,Kitchner,NS,V9J 2H2,Semi-Detached,240394.07,2024-02-11
PROP00010,7830 Elm St,Kitchner,MB,X6C 7L5,Condo,401888.23,2024-01-25
PROP00011,8051 Cedar St,Mississauga,AB,M0P 0L2,Detached,576093.37,2024-10-11
PROP00012,3197 Lakeshore St,Waterloo ,AB,N6A 3V6,Townhouse,837282.83,2024-01-27
PROP00013,3084 Maple St,Kitchener,QC,C4B 0V1,Townhouse,711286.7,2024-08-30
PROP00014,2443 Victoria St,Tornto,QC,A0S9C7,Detached,637149.53,2025-08-14
PROP00015,907 Cedar St,Kitchner,MB,X1E 4X5,Semi-Detached,639750.8,2025-07-26
PROP00016,1115 Victoria St,Hamiltion,NS,K6T 4G8,Detached,601387.19,2022-10-05
PROP00017,2231 Duke St,London,AB,C9C 6L9,Commercial,409468.75,2024-03-25
PROP00018,6170 Cedar St,Brampton,MB,R8S 8M7,Semi-Detached,560154.5,2023-08-24
PROP00019,311 Victoria St,Calgery,NS,R5P 5B7,Commercial,312158.74,2024-12-13
PROP00020,1215 Main St,Waterloo,AB,B6H 9X4,Detached,369056.38,2024-07-20
PROP00021,7472 King St,BrampTon,AB,S4Y 0N4,Commercial,867229.13,2023-07-13
PROP00022,2455 Duke St,Calgery,ON,R7N 2E3,Semi-Detached,459258.84,2023-05-05
PROP00023,1833 King St,Londn,ON,G4E 4T5,Semi-Detached,598900.75,2025-07-17
PROP00024,1643 Elm St,Waterloo,MB,Y8G 9L1,Commercial,396809.81,2022-12-06
PROP00025,6607 Elm St,Vancuver,NS,N9V 0N3,Townhouse,914067.38,2023-01-11
PROP00026,7417 Maple St,Missisauga,MB,M1P 8Y8,Commercial,749389.09,2025-06-23
PROP00027,2114 King St,Calgary,NS,K3Y 0M7,Semi-Detached,649577.63,2025-06-13
PROP00028,33 Lakeshore St,Waterloo ,NS,P2V 6H7,Condo,593716.94,2023-11-03
PROP00029,7197 Victoria St,Waterloo ,MB,L1J 7E6,Commercial,785699.12,2023-12-06
PROP00030,4732 Cedar St,Missisauga,ON,A6E 5Y0,Townhouse,313242.64,2024-05-01
PROP00031,3617 Elm St,Mississauga,BC,G0L 9B4,Semi-Detached,583423.65,2025-07-12
PROP00032,4036 Duke St,Kitchener,NS,S7X 7M3,Commercial,818701.03,2023-01-14
PROP00033,3255 Duke St,Calgery,AB,H6X 4C3,Townhouse,789460.28,2024-08-09
PROP00034,207 Lakeshore St,Missisauga,ON,A7Y 6L3,Commercial,967307.05,2025-05-31
PROP00035,9143 King St,Waterloo ,BC,G6J 1J1,Townhouse,575896.97,2025-05-28
PROP00036,7016 Queen St,Montreal ,BC,N9K 5E5,Townhouse,170353.79,2024-10-09
PROP00037,9623 Cedar St,Hamilton,ON,T9J 5R3,Condo,756735.44,2024-06-02
PROP00038,8540 Victoria St,Waterloo,NS,J1T 9M8,Semi-Detached,864256.71,2025-01-26
PROP00039,9966 Lakeshore St,Kitchener,MB,N2Y 4V9,Condo,439762.46,2024-12-04
PROP00040,4569 King St,Kitchener,MB,E1S 4C6,Condo,682965.33,2023-08-10
PROP00041,401 Lakeshore St,BrampTon,QC,R4N 2G2,Townhouse,0.0,2023-07-09
PROP00042,1391 Queen St,Brampton,ON,A1A 8B2,Semi-Detached,404784.27,2025-07-10
PROP00043,9384 Main St,Hamiltion,ON,N1T 0L4,Semi-Detached,520951.28,2022-11-13
PROP00044,8848 Duke St,Ottawa,ON,N2X 2A4,Condo,342415.87,2024-01-29
PROP00045,327 King St,toronto,MB,Y5C 2B5,Semi-Detached,689680.07,2024-02-10
PROP00046,9765 Main St,Toronto,MB,X6A 7S1,Semi-Detached,898621.85,2024-12-02
PROP00047,2359 Cedar St,Montréal,MB,P3A 3V7,Condo,475188.12,2024-11-15
PROP00048,8930 Lakeshore St,Brampton,QC,Y1K 4H2,Detached,667377.52,2023-05-03
PROP00049,3387 Duke St,Londn,ON,,Commercial,485041.07,2024-07-22
PROP00050,1477 King St,Brampton,NS,M3S 1R0,Detached,453274.38,2023-10-22
PROP00051,7145 Elm St,Vancuver,QC,L3B 5Y7,Commercial,658190.12,2023-12-10
PROP00052,2091 Victoria St,BrampTon,NS,K4B 2B6,Semi-Detached,801822.97,2022-07-23
PROP00053,9178 Lakeshore St,Waterloo ,MB,C8M 0L3,Condo,709981.96,2023-09-15
PROP00054,8728 King St,Londn,NS,T9S 9V9,Detached,388844.51,2022-06-08
PROP00055,9309 Maple St,toronto,QC,J5V 7C5,Condo,1046383.23,2024-05-22
PROP00056,4191 Main St,Ottowa,MB,P6S 2T2,Detached,297954.71,2022-11-06
PROP00057,104 Lakeshore St,BrampTon,AB,R5J 1L3,Condo,0.0,2023-02-10
PROP00058,1727 Maple St,Kitchner,NS,S7H 6L7,Detached,986991.36,2023-07-14
PROP00059,4152 Maple St,Calgary,NS,N2J 4P5,Detached,446162.72,2023-02-04
PROP00060,1355 Queen St,Ottawa,MB,J5A 1P0,Townhouse,501673.26,2023-07-16
PROP00061,7533 Queen St,Kitchner,NS,G2T 9P6,Detached,609089.53,2022-10-07
PROP00062,1228 Main St,Toronto,BC,E4V 6Y4,Condo,640224.04,2023-11-14
PROP00063,9249 Elm St,Calgary,ON,S0Y 2J4,Condo,523137.6,2022-12-22
PROP00064,4941 King St,Brampton,QC,M3K 4K5,Condo,669031.22,2024-07-25
PROP00065,6669 Duke St,Tornto,MB,12345,Semi-Detached,930935.78,2023-10-04
PROP00066,9267 Maple St,BrampTon,AB,A8P 6R3,Detached,612255.81,2023-09-04
PROP00067,5325 Main St,Londn,QC,J4E 2B6,Commercial,511733.36,2022-09-22
PROP00068,3896 Elm St,Hamilton,BC,R5B 7V9,Commercial,551625.32,2025-08-08
PROP00069,1048 Elm St,Brampton,QC,J9L 1E5,Commercial,988132.44,2025-06-13
PROP00070,394 Queen St,Mississauga,BC,X9C 0K6,Detached,730013.59,2023-03-15
PROP00071,9882 Elm St,Montreal ,AB,,Condo,705098.19,2023-08-22
PROP00072,1614 Elm St,Ottawa,ON,V0X 2H6,Detached,181576.46,2025-01-06
PROP00073,3902 Cedar St,Ottawa,MB,R8G 8R1,Townhouse,661765.96,2025-01-29
PROP00074,9820 Cedar St,Tornto,BC,L2K 5L6,Semi-Detached,921238.43,2025-04-23
PROP00075,9399 Lakeshore St,Waterloo,NS,L7Y 2B8,Townhouse,774401.29,2024-02-15
PROP00076,1642 Elm St,Vancouver,MB,C4L 6C5,Townhouse,645105.49,2025-07-28
PROP00077,5124 Lakeshore St,Mississauga,NS,12345,Townhouse,813246.36,2025-07-11
PROP00078,9743 King St,Hamilton,QC,X2P8C4,Condo,794735.36,2022-11-08
PROP00079,2042 Duke St,Kitchner,MB,T4L 3X0,Townhouse,422872.66,2024-09-24
PROP00080,460 Elm St,Calgary,MB,J5M 9L3,Detached,365785.9,2025-06-29
PROP00081,9890 Queen St,Brampton,AB,X1V 7C5,Townhouse,559725.21,2022-08-15
PROP00082,1901 Duke St,Vancouver,QC,H2M 3G7,Townhouse,402062.66,2024-03-10
PROP00083,3008 Cedar St,Tornto,QC,C8A 1A9,Condo,296840.33,2024-03-16
PROP00084,9717 Main St,Mississauga,MB,P9Y 8T2,Townhouse,179332.5,2022-10-15
PROP00085,876 King St,Waterloo,QC,S0S 7Y0,Semi-Detached,448518.83,2022-07-13
PROP00086,9756 Maple St,Waterloo,QC,P8E 2V2,Condo,609850.03,2024-04-06
PROP00087,2615 Queen St,Montreal,NS,G0R3P1,Townhouse,522256.69,2024-03-06
PROP00088,8007 Elm St,Montreal ,NS,E7H 2V5,Detached,305055.31,2023-12-19
PROP00089,4235 Main St,Montreal,QC,M2G 4L4,Condo,656164.88,2023-01-06
PROP00090,6731 Main St,Brampton,QC,K1T 6T1,Detached,852653.16,2024-12-02
PROP00091,2776 King St,Mississauga,MB,A1B 8T1,Commercial,702128.69,2025-09-06
PROP00092,4223 Main St,toronto,NS,M5T4J9,Townhouse,344049.21,2024-05-18
PROP00093,7198 Elm St,Hamiltion,BC,R9X 0V4,Townhouse,519491.56,2024-07-17
PROP00094,6382 Lakeshore St,Mississauga,ON,A9G 4C4,Commercial,669963.36,2025-06-20
PROP00095,4903 Lakeshore St,Missisauga,QC,C9E 7K3,Commercial,867481.71,2023-12-04
PROP00096,1320 Elm St,Waterloo ,BC,J5A 7J3,Semi-Detached,647048.53,2024-04-06
PROP00097,1898 Main St,Mississauga,AB,M1G 0H9,Townhouse,1025287.59,2025-04-25
